id,artist,title,duration
ybndHV_8_wI,Johnny Mathis,Love Is Here To Stay,280
BabMGFBfCcc,Papa Roach,Live This Down,216
OKfX5UiiAsQ,"Limit T 21, Grupo Manía",A Lo Mania a Lo Limi-T (En Vivo Desde Puerto Rico/2006),289
4RSWOp62XZ8,Syncopaths,Meriweather,167
ThX8S5vebNY,The Motet,So High,243
SipZ2G31uls,John Mellencamp,John Mellencamp - Longest Days,193
hDKxzQkyhvA,,Sizemix - Induced,330
op64PNMzM_Y,Sara Bareilles,Sara Bareilles - Cassiopeia Lyrics (HD),213
hGBF-HBTqyQ,Thomas Shell,Overworld Theme,71
TkcryO6fJ0M,Sean Nicholas Savage,Sean Nicholas Savage - We Used To Live In A Dream,215
e_I9P9vsOa0,"Gordy Haab, Brian Trifon & Brian Lee White",Non-Euclidean,59
tyTBslOOZ_g,,Perky & Ashman (ft. Anita Kelsey) - Good Lovin (Maduk Remix),203
fwxv4LBvH2c,Tamer Hosny,Tamer Hosny - Youm Wara Youm (Day After Day),312
R-SAcHs_yXA,"Béla Bartók, Mikrokosmos String Quartet","String Quartet No.4 (1928, BB 95, Sz 91) , V. Allegro molto",342
SYnjuIjZANs,L'Orchestre d'Academie,Born To Darkness Part 2 (from 'Interview With The Vampire: The Vampire Chronicles'),82
ifim1HULBuQ,The Goo Goo Dolls,So Long (2015 Remaster),153
72f7bgrDRac,,The Misty Mountain String Band - Ship in a Bottle - Live at WFPK 8/8/14,209
o79CDbN_L_A,Iona,Inside My Heart,370
CqL0p77UqnA,Allah-Las,"Allah-Las - ""Come On"" (JAMC)",117
TdcA-O2VxXA,D'Rockmasters,Walk of Life (172 BPM Workout Remix),258
OJ8-X5gDjI0,David Mead,Girl on the Roof - David Mead,204
u34IKeg5PoQ,Junkie XL,Immortan's Citadel (Extended Version),538
ZuOdBBJyPhk,Gregory Isaacs,A Step Away From Your Love,234
X9s_CQx4ylU,AC/DC,AC/DC - Hard as a Rock (Official HD Video),270
uVNXkdsHYA0,Harper Zen,Meditation and Relaxation,97
BmtQs70YrJM,Four Tet,Four Tet - LA Trance,348
hPnHzWegavo,Meat Beat Manifesto,Meat Beat Manifesto - She's Unreal,251
J6M5O-9oAyY,Reyes De Cancion,Tarde (As Made Famous by Rocio Durcal),201
OULRAh9uO6E,Merle Haggard & The Strangers,I'm Looking For My Mind,131
VvWrBAzKuSo,German Rosario,De Año Nuevo El Día,151
QGJuMBdaqIw,,Katy Perry - Firework (Official Music Video),233
lG1T3ePdTVc,ISLAND,I've Been Searching,256
h7Fm4JOEOq8,Scissor Sisters,Filthy/Gorgeous,228
qlDBJ0UrNiQ,,DOGO GANG - ITALIA 90 OFFICIAL VIDEO (prod. Don Joe),109
vcxKk6XsCnk,,Lutan Fyah - One Pants Bwoy [Blaze It up Production] Dancehall October 2014,168
